apps,bytes,time,mbytes-sec
intel,1024,9.10,112.48
intel,2048,9.94,206.08
intel,4096,12.77,320.88
intel,8192,12.42,659.39
intel,16384,17.52,935.21
intel,32768,27.09,1209.71
intel,65536,61.21,1070.70
intel,131072,75.66,1732.47
intel,262144,103.71,2527.76
intel,524288,169.94,3085.19
intel,1048576,300.35,3491.19
intel,2097152,540.47,3880.26
intel,4194304,1057.54,3966.10
intel,0,8.94,0.00
intel,1,9.19,0.11
intel,2,9.07,0.22
intel,4,9.26,0.43
intel,8,8.59,0.93
intel,16,8.34,1.92
intel,32,8.66,3.69
intel,64,9.06,7.06
intel,128,8.94,14.32
intel,256,10.32,24.81
intel,512,9.22,55.55
intel,1024,9.49,107.92
intel,2048,10.05,203.76
intel,4096,11.62,352.57
intel,8192,13.19,621.30
intel,16384,22.05,743.17
intel,32768,26.01,1259.82
intel,65536,57.91,1131.62
intel,131072,74.25,1765.19
intel,262144,103.62,2529.90
intel,524288,166.30,3152.58
intel,1048576,292.38,3586.36
intel,2097152,544.55,3851.19
intel,4194304,1045.78,4010.69
intel,0,10.26,0.00
intel,1,9.08,0.11
intel,2,8.92,0.22
intel,4,8.92,0.45
intel,8,8.80,0.91
intel,16,10.58,1.51
intel,32,8.82,3.63
intel,64,8.85,7.23
intel,128,9.04,14.16
intel,256,9.14,28.00
intel,512,8.99,56.97
intel,1024,10.01,102.30
intel,2048,10.31,198.60
intel,4096,11.28,363.23
intel,8192,12.75,642.40
intel,16384,16.55,990.11
intel,32768,25.78,1270.87
intel,65536,57.25,1144.81
intel,131072,71.12,1843.03
intel,262144,100.29,2613.92
intel,524288,163.97,3197.50
intel,1048576,293.33,3574.72
intel,2097152,543.53,3858.37
intel,4194304,1018.07,4119.84
intel,0,8.55,0.00
intel,1,8.64,0.12
intel,2,8.75,0.23
intel,4,9.04,0.44
intel,8,9.04,0.89
intel,16,8.62,1.86
intel,32,8.72,3.67
intel,64,9.53,6.72
intel,128,9.83,13.02
intel,256,10.39,24.63
intel,512,9.14,56.01
intel,1024,9.14,111.99
intel,2048,10.15,201.70
intel,4096,11.16,366.97
intel,8192,12.48,656.38
intel,16384,16.12,1016.25
intel,32768,25.81,1269.56
intel,65536,58.49,1120.44
intel,131072,70.45,1860.51
intel,262144,104.51,2508.28
intel,524288,161.68,3242.78
intel,1048576,290.18,3613.53
intel,2097152,532.50,3938.31
intel,4194304,1084.49,3867.55
intel,0,9.02,0.00
intel,1,8.79,0.11
intel,2,8.74,0.23
intel,4,8.92,0.45
intel,8,10.30,0.78
intel,16,9.11,1.76
intel,32,9.14,3.50
intel,64,8.87,7.22
intel,128,9.34,13.70
intel,256,8.95,28.60
intel,512,9.14,56.00
intel,1024,9.13,112.18
intel,2048,9.97,205.42
intel,4096,12.46,328.82
intel,8192,12.27,667.78
intel,16384,16.66,983.29
intel,32768,25.44,1288.09
intel,65536,60.01,1092.10
intel,131072,71.01,1845.94
intel,262144,106.01,2472.80
intel,524288,163.75,3201.77
intel,1048576,290.38,3611.03
intel,2097152,532.95,3934.98
intel,4194304,1062.25,3948.50
intel,0,8.75,0.00
intel,1,8.87,0.11
intel,2,8.66,0.23
intel,4,9.11,0.44
intel,8,9.34,0.86
intel,16,9.53,1.68
intel,32,10.05,3.19
intel,64,10.03,6.38
intel,128,8.96,14.29
intel,256,9.33,27.44
intel,512,9.25,55.36
intel,1024,9.55,107.17
intel,2048,10.71,191.19
intel,4096,11.39,359.55
intel,8192,13.09,625.99
intel,16384,16.55,989.71
intel,32768,25.69,1275.32
intel,65536,57.45,1140.73
intel,131072,70.85,1849.95
intel,262144,130.05,2015.79
intel,524288,166.98,3139.87
intel,1048576,293.21,3576.25
intel,2097152,543.16,3860.99
intel,4194304,1059.68,3958.09
intel,0,8.90,0.00
intel,1,8.96,0.11
intel,2,8.86,0.23
intel,4,8.91,0.45
intel,8,8.51,0.94
intel,16,8.74,1.83
intel,32,8.58,3.73
intel,64,8.82,7.25
intel,128,10.43,12.28
intel,256,8.88,28.81
intel,512,9.30,55.07
intel,1024,9.39,109.09
intel,2048,10.29,198.98
intel,4096,11.24,364.26
intel,8192,12.46,657.46
intel,16384,18.51,885.24
intel,32768,25.41,1289.36
intel,65536,57.46,1140.48
intel,131072,74.80,1752.40
intel,262144,102.95,2546.40
intel,524288,190.82,2747.55
intel,1048576,290.12,3614.27
intel,2097152,539.05,3890.43
intel,4194304,1070.63,3917.61
intel,0,8.93,0.00
intel,1,8.49,0.12
intel,2,8.55,0.23
intel,4,8.96,0.45
intel,8,9.71,0.82
intel,16,9.65,1.66
intel,32,8.51,3.76
intel,64,8.66,7.39
intel,128,8.92,14.35
intel,256,9.26,27.64
intel,512,9.16,55.88
intel,1024,9.07,112.92
intel,2048,9.88,207.34
intel,4096,11.47,357.20
intel,8192,12.12,676.03
intel,16384,16.11,1017.19
intel,32768,25.16,1302.21
intel,65536,57.58,1138.14
intel,131072,72.01,1820.22
intel,262144,102.45,2558.69
intel,524288,161.39,3248.50
intel,1048576,305.52,3432.05
intel,2097152,580.37,3613.49
intel,4194304,1065.92,3934.92
intel,0,9.46,0.00
intel,1,9.50,0.11
intel,2,9.21,0.22
intel,4,9.97,0.40
intel,8,10.04,0.80
intel,16,9.17,1.74
intel,32,9.23,3.47
intel,64,12.09,5.29
intel,128,9.33,13.72
intel,256,9.43,27.13
intel,512,9.20,55.63
intel,1024,9.30,110.16
intel,2048,10.07,203.28
intel,4096,11.71,349.85
intel,8192,16.06,510.17
intel,16384,17.15,955.41
intel,32768,26.40,1241.20
intel,65536,60.07,1091.05
intel,131072,96.11,1363.84
intel,262144,122.06,2147.74
intel,524288,171.44,3058.20
intel,1048576,301.50,3477.90
intel,2097152,531.80,3943.49
intel,4194304,1077.69,3891.95
intel,0,9.09,0.00
intel,1,8.42,0.12
intel,2,8.55,0.23
intel,4,9.93,0.40
intel,8,8.87,0.90
intel,16,9.02,1.77
intel,32,10.25,3.12
intel,64,9.27,6.91
intel,128,8.90,14.39
intel,256,8.84,28.96
intel,512,9.95,51.45
intel,1024,9.21,111.16
intel,2048,10.15,201.69
intel,4096,11.36,360.66
intel,8192,12.62,649.36
intel,16384,16.57,988.87
intel,32768,25.47,1286.29
intel,65536,62.11,1055.16
intel,131072,72.66,1803.86
intel,262144,103.32,2537.14
intel,524288,166.37,3151.31
intel,1048576,290.85,3605.21
