apps,interface,time
exec_imb_CPU,ib,9.3061
exec_sp,eth,800.25
exec_is,ipoib,15.14
exec_lu,eth,305.33
exec_lu,ib,227.25
exec_sp,ipoib,518.59
exec_alya,ipoib,281.85
exec_alya,ib,253.63
exec_lu,ipoib,280.29
exec_mg,ipoib,34.63
exec_cg,ib,182.61
exec_ep,ib,37.19
exec_alya,eth,295.23
exec_imb_memory,eth,26.9814
exec_bt,eth,506.07
exec_mg,eth,85.37
exec_mg,ib,34.92
exec_ft,ipoib,161.99
exec_is,ib,10.12
exec_cg,ipoib,180.87
exec_cg,eth,767.17
exec_bt,ipoib,548.92
exec_ep,eth,37.57
