apps,interface,time
exec_imb_memory,ipoib,26.3458
exec_alya,eth,295.19
exec_cg,ipoib,181.07
exec_mg,ipoib,34.68
exec_sp,ipoib,518.02
exec_mg,ib,36.54
exec_imb_CPU,ipoib,8.7313
exec_lu,ipoib,278.51
exec_alya,ipoib,282.23
exec_bt,eth,501.36
exec_ft,ib,144.11
exec_lu,ipoib,278.79
exec_bt,eth,503.29
exec_mg,ipoib,35.07
exec_ep,ib,37.48
exec_is,ipoib,14.07
exec_alya,eth,297.98
exec_mg,ib,35.91
exec_sp,ipoib,522.87
exec_imb_CPU,eth,8.6651
exec_ep,eth,37.34
exec_lu,ib,224.57
exec_imb_CPU,ipoib,8.6747
exec_mg,eth,83.90
exec_imb_memory,ib,26.5094
exec_lu,eth,302.54
exec_cg,ipoib,183.02
exec_cg,ib,183.75
exec_ft,ipoib,170.23
exec_sp,ib,452.81
exec_bt,ipoib,541.59
exec_imb_memory,ipoib,28.1126
exec_ft,eth,1577.90
exec_alya,ipoib,278.99
exec_is,ib,10.49
exec_is,eth,150.86
exec_imb_memory,eth,26.6800
exec_cg,eth,750.07
exec_ep,ipoib,39.43
exec_alya,ib,253.98
exec_imb_CPU,ib,8.6733
exec_bt,ib,381.83
exec_sp,eth,803.98
exec_lu,ipoib,285.60
exec_ep,eth,37.32
exec_cg,eth,751.20
exec_cg,ib,183.25
exec_sp,eth,806.11
exec_sp,ipoib,519.57
exec_imb_memory,eth,26.5005
exec_ft,ipoib,168.06
exec_lu,eth,306.84
exec_ep,ib,37.11
exec_ep,ipoib,37.37
exec_cg,ipoib,180.13
exec_lu,ib,226.01
exec_bt,eth,502.52
exec_bt,ib,379.86
exec_ft,ib,143.78
exec_mg,eth,81.96
exec_mg,ib,34.40
exec_sp,ib,452.51
exec_imb_CPU,ib,9.6044
exec_alya,ipoib,280.90
exec_is,eth,150.98
exec_is,ipoib,12.69
exec_imb_memory,ib,27.3902
exec_imb_CPU,ipoib,8.7182
exec_alya,ib,255.22
exec_ft,eth,1578.96
exec_imb_memory,ipoib,25.8945
exec_is,ib,10.34
exec_alya,eth,297.88
exec_bt,ipoib,544.41
exec_mg,ipoib,34.71
exec_imb_CPU,eth,9.2664
exec_imb_memory,ipoib,26.8417
exec_bt,ib,388.83
exec_alya,ipoib,280.12
exec_sp,ib,461.17
exec_lu,eth,309.61
exec_mg,ipoib,35.12
exec_ep,ipoib,37.21
exec_lu,ipoib,284.17
exec_mg,ib,36.76
exec_ft,eth,1578.04
exec_ep,eth,37.33
exec_mg,eth,82.96
exec_sp,eth,802.60
exec_lu,ib,224.19
exec_imb_memory,eth,26.9710
exec_ep,ib,37.68
exec_ft,ib,143.65
exec_imb_CPU,ipoib,9.0019
exec_sp,ipoib,522.85
exec_bt,ipoib,544.93
exec_cg,eth,754.19
exec_is,ib,10.56
exec_alya,eth,302.26
exec_bt,eth,504.37
exec_ft,ipoib,176.42
exec_is,eth,150.77
exec_imb_memory,ib,26.8311
exec_cg,ib,184.97
exec_is,ipoib,14.17
exec_imb_CPU,eth,9.3818
exec_imb_CPU,ib,9.8091
exec_alya,ib,257.67
exec_cg,ipoib,179.43
exec_lu,ipoib,282.10
exec_imb_memory,eth,28.0128
exec_alya,ipoib,279.40
exec_cg,eth,751.00
exec_is,ipoib,15.16
exec_ft,ib,145.94
exec_imb_CPU,ib,8.7001
exec_bt,ipoib,545.56
exec_imb_memory,ipoib,25.4821
exec_mg,ipoib,34.84
exec_is,ib,10.47
exec_alya,eth,299.80
exec_sp,ib,448.51
exec_ft,ipoib,173.11
exec_is,eth,151.21
exec_mg,eth,82.89
exec_lu,ib,228.56
exec_lu,eth,303.17
exec_sp,ipoib,524.17
exec_imb_CPU,ipoib,8.6864
exec_bt,ib,385.95
exec_alya,ib,251.13
exec_ep,ipoib,37.35
exec_imb_memory,ib,28.1440
exec_cg,ipoib,181.74
exec_imb_CPU,eth,8.7388
exec_cg,ib,183.09
exec_mg,ib,33.96
exec_ep,ib,37.47
exec_sp,eth,805.11
exec_ep,eth,37.18
exec_bt,eth,503.34
exec_ft,eth,1578.09
exec_cg,ipoib,178.70
exec_ep,ipoib,37.22
exec_sp,ipoib,521.86
exec_cg,ib,182.86
exec_sp,ib,455.34
exec_sp,eth,803.86
exec_ep,eth,37.79
exec_imb_memory,ib,28.5406
exec_bt,eth,503.63
exec_lu,ib,224.85
exec_bt,ib,381.19
exec_lu,ipoib,280.91
exec_ft,eth,1579.64
exec_imb_CPU,ipoib,9.3745
exec_imb_memory,eth,30.6595
exec_ep,ib,37.40
exec_lu,eth,304.77
exec_imb_CPU,eth,9.1179
exec_alya,eth,297.79
exec_mg,eth,83.01
exec_is,eth,150.77
exec_ft,ib,144.76
exec_imb_CPU,ib,8.9459
exec_mg,ipoib,36.28
exec_ft,ipoib,171.95
exec_bt,ipoib,541.37
exec_alya,ipoib,281.84
exec_alya,ib,260.40
exec_imb_memory,ipoib,28.3567
exec_mg,ib,33.67
exec_is,ib,10.27
exec_is,ipoib,15.50
exec_cg,eth,750.93
exec_lu,eth,306.48
exec_bt,eth,503.68
exec_bt,ib,377.83
exec_ft,eth,1576.50
exec_lu,ib,226.98
exec_is,ib,10.35
exec_mg,ib,34.15
exec_cg,ib,183.56
exec_mg,ipoib,35.11
exec_sp,ipoib,520.71
exec_ft,ipoib,169.19
exec_is,ipoib,13.91
exec_ep,ib,37.33
exec_sp,eth,806.17
exec_imb_memory,ipoib,26.5710
exec_ft,ib,144.01
exec_bt,ipoib,546.63
exec_alya,ipoib,281.84
exec_ep,eth,37.08
exec_sp,ib,449.85
exec_cg,ipoib,186.78
exec_alya,eth,297.15
exec_cg,eth,757.09
exec_imb_CPU,eth,9.8167
exec_ep,ipoib,43.44
exec_is,eth,150.31
exec_imb_memory,ib,27.4632
exec_imb_CPU,ib,9.3859
exec_imb_memory,eth,26.8848
exec_lu,ipoib,277.99
exec_mg,eth,83.88
exec_imb_CPU,ipoib,8.8120
exec_alya,ib,252.96
exec_imb_memory,eth,26.6466
exec_ft,eth,1578.76
exec_imb_CPU,ib,8.9235
exec_sp,eth,804.22
exec_is,ib,10.67
exec_mg,ib,36.72
exec_cg,ipoib,180.37
exec_alya,eth,300.26
exec_imb_CPU,eth,8.6838
exec_bt,eth,503.50
exec_imb_memory,ipoib,26.5170
exec_lu,ib,224.13
exec_bt,ib,374.51
exec_imb_CPU,ipoib,8.7707
exec_ep,eth,37.11
exec_cg,ib,183.01
exec_mg,eth,83.27
exec_lu,ipoib,286.97
exec_lu,eth,298.96
exec_ep,ipoib,37.13
exec_cg,eth,755.63
exec_ft,ib,145.11
exec_ft,ipoib,168.50
exec_ep,ib,37.20
exec_alya,ib,260.62
exec_is,ipoib,14.33
exec_imb_memory,ib,26.7482
exec_bt,ipoib,543.76
exec_is,eth,151.00
exec_sp,ib,454.43
exec_alya,ipoib,283.26
exec_sp,ipoib,522.10
exec_mg,ipoib,35.00
exec_mg,eth,82.77
exec_ep,ipoib,38.08
exec_imb_memory,ib,26.1407
exec_imb_CPU,ipoib,8.8213
exec_lu,ipoib,283.50
exec_mg,ib,34.69
exec_lu,eth,300.64
exec_alya,ib,253.07
exec_imb_memory,ipoib,25.8783
exec_cg,eth,751.83
exec_is,ipoib,14.83
exec_alya,ipoib,280.21
exec_lu,ib,225.42
exec_cg,ib,182.77
exec_bt,ipoib,549.41
exec_sp,ipoib,518.93
exec_is,ib,10.34
exec_cg,ipoib,182.29
exec_imb_CPU,ib,8.6409
exec_imb_CPU,eth,9.0562
exec_sp,ib,456.20
exec_mg,ipoib,35.16
exec_bt,eth,503.57
exec_bt,ib,384.83
exec_sp,eth,802.07
exec_alya,eth,294.92
exec_ft,ib,145.33
exec_is,eth,150.51
exec_ep,eth,38.92
exec_ep,ib,37.34
exec_ft,ipoib,166.87
exec_imb_memory,eth,25.8580
exec_ft,eth,1580.58
exec_alya,ipoib,282.28
exec_sp,eth,803.41
exec_ft,ib,145.09
exec_imb_memory,ipoib,29.0929
exec_ft,eth,1578.19
exec_is,ipoib,15.45
exec_imb_CPU,ib,8.6810
exec_imb_memory,ib,26.2724
exec_mg,ipoib,35.40
exec_lu,ib,224.89
exec_imb_memory,eth,29.4228
exec_lu,ipoib,289.27
exec_sp,ib,450.77
exec_is,ib,10.65
exec_alya,eth,295.56
exec_ft,ipoib,168.06
exec_sp,ipoib,525.52
exec_lu,eth,305.55
exec_bt,ipoib,544.50
exec_ep,eth,37.34
exec_is,eth,150.92
exec_imb_CPU,eth,8.7739
exec_bt,ib,381.02
exec_imb_CPU,ipoib,9.2428
exec_alya,ib,254.22
exec_cg,eth,753.67
exec_mg,ib,36.69
exec_ep,ipoib,37.15
exec_cg,ib,183.06
