apps,interface,bytes,time,mbytes-sec
exec_intel,ib,512,2.13,240.48
exec_intel,ib,1024,2.42,422.54
exec_intel,ib,2048,2.92,700.61
exec_intel,ib,4096,4.05,1012.45
exec_intel,ib,8192,5.87,1395.74
exec_intel,ib,16384,6.43,2549.60
exec_intel,ib,32768,8.62,3802.77
exec_intel,ib,65536,12.76,5137.65
exec_intel,ib,131072,21.05,6227.85
exec_intel,ib,262144,37.73,6948.78
exec_intel,ib,524288,71.25,7358.06
exec_intel,ib,1048576,137.92,7602.93
exec_intel,ib,2097152,270.52,7752.25
exec_intel,ib,4194304,537.22,7807.48
exec_intel,eth,0,6.76,0.00
exec_intel,eth,1,6.15,0.16
exec_intel,eth,2,5.96,0.34
exec_intel,eth,4,6.00,0.67
exec_intel,eth,8,5.96,1.34
exec_intel,eth,16,5.96,2.68
exec_intel,eth,32,5.98,5.35
exec_intel,eth,64,5.97,10.73
exec_intel,eth,128,5.97,21.44
exec_intel,eth,256,6.00,42.68
exec_intel,eth,512,6.00,85.26
exec_intel,eth,1024,6.08,168.39
exec_intel,eth,2048,6.87,297.98
exec_intel,eth,4096,8.03,510.02
exec_intel,eth,8192,8.38,977.67
exec_intel,eth,16384,11.41,1436.40
exec_intel,eth,32768,18.69,1753.48
exec_intel,eth,65536,38.31,1710.66
exec_intel,eth,131072,51.63,2538.76
exec_intel,eth,262144,73.96,3544.53
exec_intel,eth,524288,119.69,4380.26
exec_intel,eth,1048576,210.20,4988.50
exec_intel,eth,2097152,391.81,5352.51
exec_intel,eth,4194304,793.09,5288.58
exec_intel,ipoib,0,6.22,0.00
exec_intel,ipoib,1,5.69,0.18
exec_intel,ipoib,2,5.72,0.35
exec_intel,ipoib,4,5.72,0.70
exec_intel,ipoib,8,5.68,1.41
exec_intel,ipoib,16,5.73,2.79
exec_intel,ipoib,32,5.70,5.61
exec_intel,ipoib,64,5.78,11.07
exec_intel,ipoib,128,5.78,22.14
exec_intel,ipoib,256,5.85,43.75
exec_intel,ipoib,512,5.89,86.96
exec_intel,ipoib,1024,6.03,169.90
exec_intel,ipoib,2048,6.62,309.60
exec_intel,ipoib,4096,7.65,535.26
exec_intel,ipoib,8192,8.19,1000.66
exec_intel,ipoib,16384,11.21,1461.51
exec_intel,ipoib,32768,17.94,1826.75
exec_intel,ipoib,65536,37.70,1738.43
exec_intel,ipoib,131072,50.76,2582.00
exec_intel,ipoib,262144,73.02,3589.86
exec_intel,ipoib,524288,118.43,4427.11
exec_intel,ipoib,1048576,208.00,5041.26
exec_intel,ipoib,2097152,388.16,5402.76
exec_intel,ipoib,4194304,765.90,5476.27
exec_intel,eth,0,6.56,0.00
exec_intel,eth,1,5.98,0.17
exec_intel,eth,2,5.89,0.34
exec_intel,eth,4,5.89,0.68
exec_intel,eth,8,5.89,1.36
exec_intel,eth,16,5.89,2.72
exec_intel,eth,32,5.91,5.42
exec_intel,eth,64,5.89,10.87
exec_intel,eth,128,5.90,21.69
exec_intel,eth,256,5.91,43.33
exec_intel,eth,512,5.90,86.74
exec_intel,eth,1024,5.93,172.64
exec_intel,eth,2048,6.74,303.97
exec_intel,eth,4096,7.78,526.20
exec_intel,eth,8192,8.30,986.62
exec_intel,eth,16384,10.75,1523.80
exec_intel,eth,32768,18.14,1806.10
exec_intel,eth,65536,37.35,1754.48
exec_intel,eth,131072,50.37,2602.44
exec_intel,eth,262144,71.79,3651.75
exec_intel,eth,524288,117.39,4466.26
exec_intel,eth,1048576,205.23,5109.24
exec_intel,eth,2097152,378.90,5534.92
exec_intel,eth,4194304,755.66,5550.51
exec_intel,ib,0,1.15,0.00
exec_intel,ib,1,1.17,0.86
exec_intel,ib,2,1.19,1.69
exec_intel,ib,4,1.16,3.44
exec_intel,ib,8,1.19,6.74
exec_intel,ib,16,1.21,13.27
exec_intel,ib,32,1.19,26.81
exec_intel,ib,64,1.25,51.13
exec_intel,ib,128,1.81,70.64
exec_intel,ib,256,1.95,130.98
exec_intel,ib,512,2.11,242.21
exec_intel,ib,1024,2.39,428.59
exec_intel,ib,2048,2.89,707.99
exec_intel,ib,4096,4.01,1021.14
exec_intel,ib,8192,5.78,1417.89
exec_intel,ib,16384,6.20,2643.19
exec_intel,ib,32768,8.20,3995.77
exec_intel,ib,65536,12.45,5262.52
exec_intel,ib,131072,20.80,6301.43
exec_intel,ib,262144,37.66,6960.71
exec_intel,ib,524288,71.37,7346.48
exec_intel,ib,1048576,137.47,7627.72
exec_intel,ib,2097152,269.97,7768.10
exec_intel,ib,4194304,536.49,7818.06
exec_intel,ipoib,0,6.82,0.00
exec_intel,ipoib,1,6.22,0.16
exec_intel,ipoib,2,6.07,0.33
exec_intel,ipoib,4,6.07,0.66
exec_intel,ipoib,8,6.05,1.32
exec_intel,ipoib,16,5.99,2.67
exec_intel,ipoib,32,5.96,5.37
exec_intel,ipoib,64,5.96,10.75
exec_intel,ipoib,128,5.98,21.42
exec_intel,ipoib,256,6.04,42.39
exec_intel,ipoib,512,6.06,84.48
exec_intel,ipoib,1024,6.07,168.72
exec_intel,ipoib,2048,6.45,317.65
exec_intel,ipoib,4096,7.42,551.91
exec_intel,ipoib,8192,8.48,965.92
