apps,bytes,time,mbytes-sec
intel,65536,36.84,1779.00
intel,131072,51.05,2567.42
intel,262144,69.67,3762.75
intel,524288,113.42,4622.53
intel,1048576,279.55,3751.00
intel,2097152,416.53,5034.78
intel,4194304,785.71,5338.26
intel,0,7.91,0.00
intel,1,6.26,0.16
intel,2,6.27,0.32
intel,4,6.46,0.62
intel,8,6.20,1.29
intel,16,6.60,2.43
intel,32,6.64,4.82
intel,64,6.18,10.36
intel,128,6.59,19.44
intel,256,6.39,40.07
intel,512,7.13,71.83
intel,1024,6.69,153.00
intel,2048,7.21,283.96
intel,4096,8.43,485.68
intel,8192,8.78,933.05
intel,16384,11.75,1393.82
intel,32768,16.52,1983.36
intel,65536,37.68,1739.23
intel,131072,46.57,2814.63
intel,262144,68.38,3833.42
intel,524288,116.42,4503.48
intel,1048576,218.04,4809.05
intel,2097152,403.34,5199.44
intel,4194304,811.63,5167.73
intel,0,6.30,0.00
intel,1,5.55,0.18
intel,2,5.94,0.34
intel,4,5.41,0.74
intel,8,5.42,1.48
intel,16,5.54,2.89
intel,32,5.39,5.94
intel,64,5.64,11.35
intel,128,6.15,20.81
intel,256,5.69,44.97
intel,512,5.72,89.48
intel,1024,5.85,174.98
intel,2048,6.49,315.46
intel,4096,7.36,556.31
intel,8192,7.74,1058.65
intel,16384,9.76,1679.12
intel,32768,15.08,2172.89
intel,65536,33.02,1984.63
intel,131072,44.96,2915.24
intel,262144,67.12,3905.84
intel,524288,109.87,4771.87
intel,1048576,220.52,4754.91
intel,2097152,425.11,4933.22
intel,4194304,797.15,5261.64
intel,0,6.80,0.00
intel,1,6.77,0.15
intel,2,6.51,0.31
intel,4,6.68,0.60
intel,8,6.65,1.20
intel,16,6.79,2.36
intel,32,6.30,5.08
intel,64,6.84,9.36
intel,128,6.65,19.25
intel,256,6.69,38.24
intel,512,6.70,76.41
intel,1024,6.94,147.49
intel,2048,7.22,283.83
intel,4096,8.58,477.65
intel,8192,9.52,860.13
intel,16384,11.20,1463.36
intel,32768,17.07,1920.17
intel,65536,37.90,1728.98
intel,131072,48.43,2706.26
intel,262144,72.16,3632.99
intel,524288,121.97,4298.67
intel,1048576,217.09,4830.10
intel,2097152,441.99,4744.75
intel,4194304,842.32,4979.46
intel,0,6.63,0.00
intel,1,6.39,0.16
intel,2,7.09,0.28
intel,4,6.54,0.61
intel,8,6.30,1.27
intel,16,6.64,2.41
intel,32,6.37,5.02
intel,64,6.75,9.48
intel,128,6.38,20.06
intel,256,7.26,35.27
intel,512,7.03,72.84
intel,1024,7.08,144.71
intel,2048,7.66,267.44
intel,4096,8.58,477.27
intel,8192,15.55,526.98
intel,16384,11.55,1418.10
intel,32768,16.95,1932.73
intel,65536,40.75,1608.43
intel,131072,48.61,2696.60
intel,262144,71.12,3685.75
intel,524288,120.38,4355.39
intel,1048576,237.25,4419.76
intel,2097152,434.26,4829.29
intel,4194304,873.62,4801.04
intel,0,7.16,0.00
intel,1,6.69,0.15
intel,2,7.07,0.28
intel,4,7.07,0.57
intel,8,6.99,1.14
intel,16,6.11,2.62
intel,32,7.91,4.04
intel,64,7.16,8.94
intel,128,6.83,18.73
intel,256,6.87,37.27
intel,512,6.77,75.64
intel,1024,7.36,139.18
intel,2048,7.52,272.37
intel,4096,8.38,488.84
intel,8192,9.49,863.29
intel,16384,11.12,1473.84
intel,32768,17.95,1825.89
intel,65536,38.68,1694.53
intel,131072,48.30,2713.56
intel,262144,72.14,3634.04
intel,524288,121.01,4332.69
intel,1048576,221.60,4731.84
intel,2097152,442.04,4744.21
intel,4194304,857.42,4891.76
intel,0,6.72,0.00
intel,1,6.66,0.15
intel,2,8.05,0.25
intel,4,6.87,0.58
intel,8,6.94,1.15
intel,16,6.85,2.34
intel,32,6.90,4.64
intel,64,7.42,8.62
intel,128,6.92,18.49
intel,256,6.92,36.99
intel,512,7.03,72.85
intel,1024,6.83,149.92
intel,2048,8.21,249.39
intel,4096,8.55,479.25
intel,8192,9.28,882.46
intel,16384,11.82,1386.53
intel,32768,17.95,1825.56
intel,65536,38.24,1714.00
intel,131072,50.24,2608.75
intel,262144,72.39,3621.05
intel,524288,122.31,4286.61
intel,1048576,229.22,4574.60
intel,2097152,440.99,4755.53
intel,4194304,839.55,4995.89
intel,0,6.99,0.00
intel,1,6.76,0.15
intel,2,6.25,0.32
intel,4,5.96,0.67
intel,8,6.23,1.28
intel,16,6.60,2.42
intel,32,5.27,6.07
intel,64,7.10,9.01
intel,128,6.52,19.63
intel,256,5.87,43.58
intel,512,6.61,77.41
intel,1024,6.16,166.32
intel,2048,7.16,285.92
intel,4096,9.45,433.49
intel,8192,8.95,914.88
intel,16384,10.57,1550.50
intel,32768,17.13,1912.47
intel,65536,38.11,1719.85
intel,131072,43.70,2999.15
intel,262144,84.33,3108.73
intel,524288,106.13,4939.99
intel,1048576,204.95,5116.23
intel,2097152,425.55,4928.12
intel,4194304,816.68,5135.77
intel,0,6.25,0.00
intel,1,5.83,0.17
intel,2,6.24,0.32
intel,4,6.34,0.63
intel,8,6.65,1.20
intel,16,6.00,2.67
intel,32,6.22,5.15
intel,64,6.04,10.60
intel,128,5.96,21.47
intel,256,6.36,40.28
intel,512,6.53,78.42
intel,1024,7.32,139.87
intel,2048,7.15,286.47
intel,4096,7.83,522.92
intel,8192,9.47,865.08
intel,16384,11.14,1471.36
intel,32768,15.95,2054.54
intel,65536,35.08,1868.05
intel,131072,45.03,2910.80
intel,262144,67.41,3888.51
intel,524288,111.00,4723.51
intel,1048576,222.35,4715.78
intel,2097152,414.25,5062.50
intel,4194304,824.58,5086.57
intel,0,6.33,0.00
intel,1,6.59,0.15
intel,2,7.59,0.26
intel,4,6.67,0.60
intel,8,7.85,1.02
intel,16,5.62,2.85
intel,32,6.88,4.65
intel,64,7.28,8.79
intel,128,6.43,19.89
intel,256,6.25,40.96
intel,512,6.62,77.36
intel,1024,7.52,136.26
intel,2048,7.91,259.00
intel,4096,9.89,414.06
intel,8192,8.67,944.89
intel,16384,10.72,1527.86
intel,32768,16.41,1996.67
intel,65536,36.79,1781.44
intel,131072,62.61,2093.61
intel,262144,70.43,3721.86
intel,524288,117.44,4464.48
intel,1048576,246.86,4247.73
intel,2097152,428.24,4897.13
intel,4194304,1049.09,3998.05
intel,0,5.67,0.00
intel,1,5.54,0.18
intel,2,6.82,0.29
intel,4,12.10,0.33
intel,8,5.39,1.48
intel,16,5.94,2.69
intel,32,6.12,5.23
intel,64,5.70,11.23
intel,128,5.93,21.57
intel,256,5.41,47.28
intel,512,5.42,94.43
intel,1024,5.87,174.39
intel,2048,6.59,310.75
intel,4096,7.13,574.49
intel,8192,7.38,1110.24
intel,16384,10.25,1598.32
intel,32768,16.04,2042.95
intel,65536,32.08,2043.01
intel,131072,48.38,2709.06
intel,262144,63.24,4145.21
intel,524288,103.55,5063.11
intel,1048576,194.69,5386.01
intel,2097152,415.93,5042.14
intel,4194304,819.88,5115.73
intel,0,6.73,0.00
intel,1,7.39,0.14
intel,2,6.68,0.30
intel,4,6.48,0.62
intel,8,6.56,1.22
intel,16,6.28,2.55
intel,32,7.00,4.57
intel,64,6.50,9.84
intel,128,6.39,20.02
intel,256,6.56,39.03
intel,512,7.02,72.91
intel,1024,8.03,127.45
intel,2048,7.88,259.92
intel,4096,8.33,491.88
intel,8192,9.18,892.42
intel,16384,11.97,1369.16
intel,32768,18.67,1755.36
intel,65536,39.97,1639.59
intel,131072,57.76,2269.34
intel,262144,79.02,3317.64
intel,524288,121.73,4307.06
intel,1048576,226.80,4623.35
intel,2097152,494.99,4236.77
intel,4194304,866.07,4842.90
